,bin,Reference Curve,INF
0,0.0,,
1,30.0,15.549,-22.538993999999995
2,60.0,57.465,-11.83172399999998
3,90.0,91.28,28.60308500000002
4,120.0,120.0,65.73684000000006
5,150.0,149.75,90.70545499999997
6,180.0,180.70499999999998,111.31931999999999
7,210.0,219.88,146.6024950000001
8,240.0,255.53,185.9219299999999
9,270.0,296.33,230.79907999999975
10,300.0,326.91999999999996,254.71738000000033
11,330.0,362.63,305.5499000000001
12,360.0,394.81,335.43187000000006
13,390.0,428.76,362.71017000000023
14,420.0,462.75,402.03753
15,450.0,501.69,440.9034000000001
16,480.0,532.83,471.3762300000003
17,510.0,568.2,497.3317199999996
18,540.0,606.83,541.2249500000007
19,570.0,640.7,574.94669
20,600.0,668.29,606.0949300000001
21,630.0,703.01,650.6000899999997
22,660.0,738.81,670.6845299999995
23,690.0,771.275,710.7107899999999
24,720.0,803.74,740.766565
25,750.0,837.135,777.868065
26,780.0,869.635,814.964125
27,810.0,899.62,845.7274900000001
28,840.0,937.71,876.9234000000006
29,870.0,963.64,908.5984749999999
30,900.0,989.99,934.9484749999999
31,930.0,998.47,943.4284749999999
32,960.0,998.47,943.4284749999999
33,990.0,998.47,943.4284749999999
34,1020.0,998.47,943.4284749999999
35,1050.0,998.47,943.4284749999999
36,1080.0,998.47,943.4284749999999
37,,,
